datetime,price,EE_total,date,openning_time,closing_time,E_max,E_min,E_shifted,ET_BC1_Frio,ET_BC1_Calor,ET_BC2_Frio,ET_BC2_Calor,ET_BC3_Frio,ET_BC3_Calor,ET_total
2025-01-21 16:00:00,155.29,7.908000000000811,2025-01-21,7.0,21.0,18.43360000000075,0.0,7.908000000000811,0.0,18.0,0.0,15.0,0.0,0.0,33.0
2025-01-21 17:00:00,157.78,5.318000000000666,2025-01-21,7.0,21.0,15.843600000000604,0.0,5.318000000000666,0.0,17.0,0.0,7.0,0.0,0.0,24.0
2025-01-21 18:00:00,160.11,5.077999999999065,2025-01-21,7.0,21.0,15.603599999999004,0.0,5.077999999999065,0.0,17.0,0.0,5.0,0.0,0.0,22.0
2025-01-21 19:00:00,170.44,5.022999999999229,2025-01-21,7.0,21.0,15.548599999999167,0.0,3.1190524215769875,0.0,17.0,0.0,4.0,0.0,0.0,21.0
2025-01-21 20:00:00,164.84,2.3340000000002874,2025-01-21,7.0,21.0,12.859600000000226,0.0,2.9351939557497206,0.0,8.0,0.0,1.0,0.0,0.0,9.0
2025-01-21 21:00:00,154.57,1.4490000000009788,2025-01-21,7.0,21.0,11.974600000000915,0.0,2.751753622673786,0.0,5.0,0.0,2.0,0.0,0.0,7.0
2025-01-21 22:00:00,141.08,0.0259999999998399,2025-01-21,7.0,21.0,0.0259999999998399,0.0259999999998399,0.0259999999998399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-21 23:00:00,132.65,0.0240000000003419,2025-01-21,7.0,21.0,0.0240000000003419,0.0240000000003419,0.0240000000003419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 00:00:00,127.8,0.0249999999996362,2025-01-22,7.0,20.0,0.0249999999996362,0.0249999999996362,0.0249999999996362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 01:00:00,121.67,0.0250000000000909,2025-01-22,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 02:00:00,113.35,0.0250000000000909,2025-01-22,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 03:00:00,110.8,0.0250000000000909,2025-01-22,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 04:00:00,112.25,0.0250000000000909,2025-01-22,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 05:00:00,115.01,0.0259999999998399,2025-01-22,7.0,20.0,10.551599999999778,0.0,7.689104811100979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 06:00:00,126.44,0.0250000000000909,2025-01-22,7.0,20.0,10.55060000000003,0.0,7.872460913677219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 07:00:00,150.22,17.43899999999985,2025-01-22,7.0,20.0,27.96459999999979,6.913399999999911,8.054514221541076,0.0,53.0,0.0,31.0,0.0,0.0,84.0
2025-01-22 08:00:00,160.03,10.883000000000266,2025-01-22,7.0,20.0,21.40860000000021,0.3574000000003252,8.20381565496302,0.0,16.0,0.0,30.0,0.0,0.0,46.0
2025-01-22 09:00:00,166.71,10.559000000000651,2025-01-22,7.0,20.0,21.08460000000059,0.0334000000007108,8.394682296440234,0.0,33.0,0.0,12.0,0.0,0.0,45.0
2025-01-22 10:00:00,149.63,10.118999999998778,2025-01-22,7.0,20.0,20.64459999999872,0.0,10.263539999999391,0.0,15.0,0.0,28.0,0.0,0.0,43.0
2025-01-22 11:00:00,143.79,14.059000000000651,2025-01-22,7.0,20.0,24.58460000000059,3.533400000000711,11.898612220935672,0.0,40.0,0.0,22.0,0.0,0.0,62.0
2025-01-22 12:00:00,133.98,9.24499999999989,2025-01-22,7.0,20.0,19.77059999999983,0.0,11.724298110314988,0.0,18.0,0.0,21.0,0.0,0.0,39.0
2025-01-22 13:00:00,136.46,10.868000000000391,2025-01-22,7.0,20.0,21.393600000000333,0.3424000000004525,10.564275875000282,0.0,34.0,0.0,14.0,0.0,0.0,48.0
2025-01-22 14:00:00,142.05,10.620999999999183,2025-01-22,7.0,20.0,21.146599999999125,0.0953999999992447,9.56616626784982,0.0,34.0,0.0,11.0,0.0,0.0,45.0
2025-01-22 15:00:00,136.57,8.322000000000571,2025-01-22,7.0,20.0,18.84760000000051,0.0,9.376833732149937,0.0,27.0,0.0,11.0,0.0,0.0,38.0
2025-01-22 16:00:00,149.12,6.330000000000382,2025-01-22,7.0,20.0,16.855600000000322,0.0,6.330000000000382,0.0,21.0,0.0,6.0,0.0,0.0,27.0
2025-01-22 17:00:00,160.14,4.488999999999123,2025-01-22,7.0,20.0,15.014599999999062,0.0,4.637470904968252,0.0,14.0,0.0,5.0,0.0,0.0,19.0
2025-01-22 18:00:00,169.17,4.923000000000229,2025-01-22,7.0,20.0,15.448600000000168,0.0,4.781599138124869,0.0,14.0,0.0,7.0,0.0,0.0,21.0
2025-01-22 19:00:00,173.38,4.58199999999988,2025-01-22,7.0,20.0,15.10759999999982,0.0,4.58199999999988,0.0,4.0,0.0,15.0,0.0,0.0,19.0
2025-01-22 20:00:00,158.4,4.8500000000008185,2025-01-22,7.0,20.0,15.375600000000755,0.0,4.8500000000008185,0.0,6.0,0.0,15.0,0.0,0.0,21.0
2025-01-22 21:00:00,159.34,0.0249999999996362,2025-01-22,7.0,20.0,0.0249999999996362,0.0249999999996362,0.0249999999996362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 22:00:00,149.58,0.0240000000003419,2025-01-22,7.0,20.0,0.0240000000003419,0.0240000000003419,0.0240000000003419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-22 23:00:00,142.95,0.0250000000000909,2025-01-22,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 00:00:00,128.97,0.0249999999996362,2025-01-23,7.0,20.0,0.0249999999996362,0.0249999999996362,0.0249999999996362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 01:00:00,123.6,0.0250000000000909,2025-01-23,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 02:00:00,124.14,0.0250000000000909,2025-01-23,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 03:00:00,117.57,3.932999999999538,2025-01-23,7.0,20.0,3.932999999999538,3.932999999999538,3.932999999999538,1.0,4.0,0.0,13.0,0.0,0.0,18.0
2025-01-23 04:00:00,119.23,0.0250000000000909,2025-01-23,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 05:00:00,123.89,0.0249999999996362,2025-01-23,7.0,20.0,10.550599999999577,0.0,6.04978439436293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 06:00:00,131.82,0.0240000000003419,2025-01-23,7.0,20.0,10.54960000000028,0.0,6.235970923507948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 07:00:00,148.1,14.505999999999403,2025-01-23,7.0,20.0,25.031599999999344,3.980399999999463,6.426647640645668,0.0,25.0,0.0,41.0,0.0,0.0,66.0
2025-01-23 08:00:00,170.82,9.72900000000118,2025-01-23,7.0,20.0,20.25460000000112,0.0,6.584745264781408,0.0,16.0,0.0,26.0,0.0,0.0,42.0
2025-01-23 09:00:00,169.22,14.905999999999947,2025-01-23,7.0,20.0,25.43159999999989,4.380400000000009,13.433103839629425,0.0,32.0,0.0,32.0,0.0,0.0,64.0
2025-01-23 10:00:00,166.94,11.779999999998836,2025-01-23,7.0,20.0,22.305599999998776,1.2543999999988955,13.25289616036936,0.0,24.0,0.0,27.0,0.0,0.0,51.0
2025-01-23 11:00:00,150.57,14.307999999999993,2025-01-23,7.0,20.0,24.833599999999933,3.782400000000053,13.148141197276557,0.0,29.0,0.0,33.0,0.0,0.0,62.0
2025-01-23 12:00:00,140.57,16.09900000000016,2025-01-23,7.0,20.0,26.6246000000001,5.57340000000022,12.972462876909836,0.0,36.0,0.0,33.0,0.0,0.0,69.0
2025-01-23 13:00:00,128.95,9.002000000000862,2025-01-23,7.0,20.0,19.527600000000803,0.0,12.788890480225122,0.0,25.0,0.0,16.0,0.0,0.0,41.0
2025-01-23 14:00:00,124.33,12.127999999998336,2025-01-23,7.0,20.0,22.65359999999828,1.602399999998397,12.627505445587834,0.0,24.0,0.0,28.0,0.0,0.0,52.0
2025-01-23 15:00:00,128.26,7.693000000001575,2025-01-23,7.0,20.0,18.21860000000152,0.0,7.693000000001575,0.0,25.0,0.0,9.0,0.0,0.0,34.0
2025-01-23 16:00:00,157.9,5.92299999999932,2025-01-23,7.0,20.0,16.44859999999926,0.0,5.92299999999932,0.0,19.0,0.0,6.0,0.0,0.0,25.0
2025-01-23 17:00:00,168.45,4.3449999999998,2025-01-23,7.0,20.0,14.870599999999738,0.0,4.594657390254623,0.0,14.0,0.0,5.0,0.0,0.0,19.0
2025-01-23 18:00:00,179.41,4.97800000000143,2025-01-23,7.0,20.0,15.503600000001368,0.0,4.7402310569016,0.0,17.0,0.0,5.0,0.0,0.0,22.0
2025-01-23 19:00:00,208.67,4.108999999999014,2025-01-23,7.0,20.0,14.634599999998953,0.0,4.108999999999014,0.0,12.0,0.0,5.0,0.0,0.0,17.0
2025-01-23 20:00:00,198.82,4.855000000000018,2025-01-23,7.0,20.0,15.380599999999957,0.0,4.855000000000018,0.0,16.0,0.0,5.0,0.0,0.0,21.0
2025-01-23 21:00:00,173.34,0.0250000000000909,2025-01-23,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 22:00:00,158.27,0.0250000000000909,2025-01-23,7.0,20.0,0.0250000000000909,0.0250000000000909,0.0250000000000909,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 23:00:00,149.39,0.0249999999996362,2025-01-23,7.0,20.0,0.0249999999996362,0.0249999999996362,0.0249999999996362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
